dataset,cheap_model,expensive_model,spearman_score_cost,abs_spearman_score_cost,p_value,n
math_hard,gpt-4o-mini,gpt-oss-20b,-0.49456571778822717,0.49456571778822717,7.214861446662005e-124,2000
math_hard,gpt-4o-mini,deepseek-v3,-0.4165643839464628,0.4165643839464628,8.76807036839672e-85,2000
math_hard,gpt-4o-mini,llama-3.3-70b,-0.29404743858546706,0.29404743858546706,3.5147616074798434e-41,2000
math_hard,gpt-4o-mini,gpt-4o,-0.17012613417286096,0.17012613417286096,1.8678269094806394e-14,2000
math_hard,gpt-4o-mini,MiniMax-M2.7,-0.49475345136721754,0.49475345136721754,5.6413001511279704e-124,2000
math_hard,gpt-oss-20b,deepseek-v3,-0.35057705209701323,0.35057705209701323,6.444932955421732e-59,2000
math_hard,gpt-oss-20b,llama-3.3-70b,-0.2072508020035004,0.2072508020035004,7.634169224669906e-21,2000
math_hard,gpt-oss-20b,gpt-4o,-0.11920071859088821,0.11920071859088821,8.964274284807789e-08,2000
math_hard,gpt-oss-20b,MiniMax-M2.7,-0.4833982340842821,0.4833982340842821,1.2468210063312146e-117,2000
math_hard,deepseek-v3,llama-3.3-70b,0.079537914945734,0.079537914945734,0.0003702033340982633,2000
math_hard,deepseek-v3,gpt-4o,0.12534297879318568,0.12534297879318568,1.8637262013884065e-08,2000
math_hard,deepseek-v3,MiniMax-M2.7,-0.17583982895437167,0.17583982895437167,2.3623402164535097e-15,2000
math_hard,llama-3.3-70b,gpt-4o,-0.0028234858570611566,0.0028234858570611566,0.8997806194116635,1992
math_hard,llama-3.3-70b,MiniMax-M2.7,-0.25962934918104286,0.25962934918104286,4.771392810562511e-32,1992
math_hard,gpt-4o,MiniMax-M2.7,-0.5060140603332738,0.5060140603332738,1.6552645362142148e-130,2000
simpleqa,llama-3.1-8b,qwen2.5-7b,-0.050775623863055085,0.050775623863055085,0.02322803904505076,1998
simpleqa,llama-3.1-8b,gpt-4o-mini,0.02040234171417719,0.02040234171417719,0.36203815215206037,1998
simpleqa,llama-3.1-8b,gpt-oss-20b,-0.13493835796801004,0.13493835796801004,1.399399692377479e-09,1998
simpleqa,llama-3.1-8b,deepseek-v3,0.10478058465213194,0.10478058465213194,2.6846448644053665e-06,1998
simpleqa,llama-3.1-8b,llama-3.3-70b,-0.025549764017957402,0.025549764017957402,0.2536534417843377,1998
simpleqa,llama-3.1-8b,gpt-4o,-0.014804524746516253,0.014804524746516253,0.5083754003526441,1998
simpleqa,llama-3.1-8b,MiniMax-M2.7,-0.09117549540803999,0.09117549540803999,4.476416276640428e-05,1998
simpleqa,qwen2.5-7b,gpt-4o-mini,0.009423163666806445,0.009423163666806445,0.6736363675797384,2000
simpleqa,qwen2.5-7b,gpt-oss-20b,-0.16026047388514286,0.16026047388514286,5.626975731021186e-13,2000
simpleqa,qwen2.5-7b,deepseek-v3,-0.12126305792616342,0.12126305792616342,5.335742363770945e-08,2000
simpleqa,qwen2.5-7b,llama-3.3-70b,-0.1352955380064962,0.1352955380064962,1.2416692935422517e-09,2000
simpleqa,qwen2.5-7b,gpt-4o,-0.0107298355609702,0.0107298355609702,0.6315355694991674,2000
simpleqa,qwen2.5-7b,MiniMax-M2.7,-0.018395053024502023,0.018395053024502023,0.4109590733190657,2000
simpleqa,gpt-4o-mini,gpt-oss-20b,-0.16520931000279368,0.16520931000279368,1.046390046416239e-13,2000
simpleqa,gpt-4o-mini,deepseek-v3,-0.15294099843469572,0.15294099843469572,6.158176238000574e-12,2000
simpleqa,gpt-4o-mini,llama-3.3-70b,-0.16522387424339993,0.16522387424339993,1.0411422206739246e-13,2000
simpleqa,gpt-4o-mini,gpt-4o,-0.00790586737217569,0.00790586737217569,0.7238293488592327,2000
simpleqa,gpt-4o-mini,MiniMax-M2.7,-0.03454929739513726,0.03454929739513726,0.12244626615169275,2000
simpleqa,gpt-oss-20b,deepseek-v3,-0.022570070609988363,0.022570070609988363,0.31304095898175444,2000
simpleqa,gpt-oss-20b,llama-3.3-70b,-0.046512093802671066,0.046512093802671066,0.03753385218153109,2000
simpleqa,gpt-oss-20b,gpt-4o,0.08169190675248292,0.08169190675248292,0.0002549824982543637,2000
simpleqa,gpt-oss-20b,MiniMax-M2.7,-0.06375420694201517,0.06375420694201517,0.004340490297530253,2000
simpleqa,deepseek-v3,llama-3.3-70b,-0.08233565528605742,0.08233565528605742,0.00022769875866413366,2000
simpleqa,deepseek-v3,gpt-4o,-0.03782517700370474,0.03782517700370474,0.09080988266462689,2000
simpleqa,deepseek-v3,MiniMax-M2.7,-0.12191036012684925,0.12191036012684925,4.525856746319594e-08,2000
simpleqa,llama-3.3-70b,gpt-4o,0.00244926543180241,0.00244926543180241,0.9128762316868544,1998
